"","province","location","year","latinName","commonName","counts","catched","adult","pulli","not_catched"
"152","Antwerpen","Beerse",2016,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"153","Antwerpen","Beerse",2016,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"154","Antwerpen","Beerse",2016,"Branta canadensis","Canadese gans",111,29,10,19,0
"155","Antwerpen","Beerse",2016,"Branta leucopsis","Brandgans",38,NA,NA,NA,NA
"156","Antwerpen","Beerse",2016,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"157","Antwerpen","Beerse",2016,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"158","Antwerpen","Beerse",2017,"Alopochen aegyptiacus","Nijlgans",1,NA,NA,NA,NA
"159","Antwerpen","Beerse",2017,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"160","Antwerpen","Beerse",2017,"Anser anser","Grauwe gans",49,NA,NA,NA,NA
"161","Antwerpen","Beerse",2017,"Anser anser forma domesticus","Soepgans",3,NA,NA,NA,NA
"162","Antwerpen","Beerse",2017,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"163","Antwerpen","Beerse",2017,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"164","Antwerpen","Beerse",2017,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"165","Antwerpen","Beerse",2017,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"166","Antwerpen","Beerse",2017,"Branta canadensis","Canadese gans",29,NA,NA,NA,NA
"167","Antwerpen","Beerse",2017,"Branta leucopsis","Brandgans",34,NA,NA,NA,NA
"168","Antwerpen","Beerse",2017,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"169","Antwerpen","Beerse",2017,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"170","Antwerpen","Beerse",2018,"Alopochen aegyptiacus","Nijlgans",8,NA,NA,NA,NA
"171","Antwerpen","Beerse",2018,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"172","Antwerpen","Beerse",2018,"Anser anser","Grauwe gans",26,NA,NA,NA,NA
"173","Antwerpen","Beerse",2018,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"174","Antwerpen","Beerse",2018,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"175","Antwerpen","Beerse",2018,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"176","Antwerpen","Beerse",2018,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"177","Antwerpen","Beerse",2018,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"178","Antwerpen","Beerse",2018,"Branta canadensis","Canadese gans",60,NA,NA,NA,NA
"179","Antwerpen","Beerse",2018,"Branta leucopsis","Brandgans",36,NA,NA,NA,NA
"180","Antwerpen","Beerse",2018,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"181","Antwerpen","Beerse",2018,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"182","Antwerpen","Bornem",2014,"Alopochen aegyptiacus","Nijlgans",163,NA,NA,NA,NA
"183","Antwerpen","Bornem",2014,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"184","Antwerpen","Bornem",2014,"Anser anser","Grauwe gans",0,NA,NA,NA,NA
"185","Antwerpen","Bornem",2014,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"186","Antwerpen","Bornem",2014,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"187","Antwerpen","Bornem",2014,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"188","Antwerpen","Bornem",2014,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"189","Antwerpen","Bornem",2014,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"190","Antwerpen","Bornem",2014,"Branta canadensis","Canadese gans",31,NA,NA,NA,NA
"191","Antwerpen","Bornem",2014,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"192","Antwerpen","Bornem",2014,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"193","Antwerpen","Bornem",2014,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"194","Antwerpen","Bornem",2015,"Alopochen aegyptiacus","Nijlgans",382,NA,NA,NA,NA
"195","Antwerpen","Bornem",2015,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"196","Antwerpen","Bornem",2015,"Anser anser","Grauwe gans",0,NA,NA,NA,NA
"197","Antwerpen","Bornem",2015,"Anser anser forma domesticus","Soepgans",1,NA,NA,NA,NA
"198","Antwerpen","Bornem",2015,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"199","Antwerpen","Bornem",2015,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"200","Antwerpen","Bornem",2015,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"201","Antwerpen","Bornem",2015,"Anser indicus","Indische gans",0,NA,NA,NA,NA
